,ISO3,P1,P2,P3,P4,P5,DMI Index
0,BRA,0.8987180843560446,0.7316574334659105,0.8,0.6601270102093993,0.6912915305037972,0.7563588117070303
1,ARG,0.8073033203440109,0.776933560277825,0.6,0.6814113478531034,0.593847805258423,0.6918992067466724
4,CHL,0.6652321663294567,0.8351366829079508,0.4,0.7229782055537117,0.8131826662143826,0.6873059442011004
3,MEX,0.6742866540741128,0.6717597635704661,0.5666666666666667,0.4555422561318094,0.4691037595937032,0.5674718200073515
2,COL,0.6985387151218264,0.6296162949508403,0.35,0.41794606097901904,0.431215533513962,0.5054633209131294
7,URY,0.5882027769564238,0.6106804081115721,0.2,0.5297625975485359,0.5929183253221754,0.5043128215877415
5,PER,0.6064053819868775,0.6146584160109554,0.5,0.2620177621750796,0.48294804312853656,0.4932059206602898
10,PRY,0.535312347134638,0.5360121813028317,0.4,0.3610645201601272,0.3634119274152434,0.4391601952025681
11,JAM,0.518355315747402,0.5359332831664994,0.2,0.4937581880705049,0.2817483989735642,0.4059590371915941
8,PAN,0.5666106915527414,0.478918679367093,0.2,0.23537723901982144,0.41997263028030835,0.38017584804399285
9,SLV,0.5385776204941729,0.3410957700354129,0.6,0.1495384304105459,0.18897319921451616,0.3636370040309296
6,DOM,0.5893366649972204,0.6475165512390729,0.05,0.18375805983865723,0.3115202981412534,0.35642631484324083
12,GTM,0.3401877751528451,0.1257079403114644,0.05,0.10075598333148945,0.2412787690074914,0.17158609356065807
13,HND,0.32168325041872287,0.24053987873819413,0.0,0.07715469981383076,0.1668732028666967,0.16125020636748888
